epoch,epoch_loss,lmi_loss,eta_loss
0,16171159.236512959,"tensor(-80.9811665, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.0079270], grad_fn=<AddBackward0>)"
1,2023753.6393493046,"tensor(-80.6599861, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
2,33802.703789174506,"tensor(-80.6872505, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
3,1654.000937479183,"tensor(-80.7023174, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
4,643.5883504211243,"tensor(-80.7067964, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
5,324.4707202871481,"tensor(-80.7086452, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
6,133.7818824586687,"tensor(-80.7101887, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
7,106.19157735086834,"tensor(-80.7109648, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
8,69.94619924249741,"tensor(-80.7115469, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
9,68.97338362655373,"tensor(-80.7123093, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
10,26.721091607028484,"tensor(-80.7127589, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
11,33.6008978713423,"tensor(-80.7130796, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
12,21.409972583098334,"tensor(-80.7133472, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
13,14.142405911138395,"tensor(-80.7136368, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
14,8.916564465118498,"tensor(-80.7137517, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
15,7.518875546942222,"tensor(-80.7139015, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
16,9.015381590156322,"tensor(-80.7140248, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
17,9.240609423445463,"tensor(-80.7141486, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
18,4.874888170077168,"tensor(-80.7142931, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
19,6.44852598180788,"tensor(-80.7144184, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
20,5.591987814056333,"tensor(-80.7144108, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
21,4.136656420660931,"tensor(-80.7145382, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
22,3.971197360483165,"tensor(-80.7145908, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
23,4.142090780947054,"tensor(-80.7146646, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
24,3.227495061284513,"tensor(-80.7147269, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
25,3.1754346589767404,"tensor(-80.7147538, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
26,3.492491034280114,"tensor(-80.7147902, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
27,2.8389241166300487,"tensor(-80.7148393, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
28,2.9608699394977074,"tensor(-80.7148632, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
29,2.9525447592356233,"tensor(-80.7149294, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
30,2.7701620940592377,"tensor(-80.7149519, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
31,2.6457084271527904,"tensor(-80.7149916, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
32,2.746561949115051,"tensor(-80.7150115, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
33,2.595770715542424,"tensor(-80.7150483, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
34,2.552949455204197,"tensor(-80.7150557, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
35,2.5477921224159004,"tensor(-80.7150826, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
36,2.4488755225766963,"tensor(-80.7151129, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
37,2.425155528261068,"tensor(-80.7151234, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
38,2.4627617879622683,"tensor(-80.7151329, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
39,2.3557541461880405,"tensor(-80.7151676, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
40,2.3956507572267287,"tensor(-80.7151953, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
41,2.3441448990151597,"tensor(-80.7152048, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
42,2.3175242647065684,"tensor(-80.7152145, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
43,2.3364575612357097,"tensor(-80.7152416, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
44,2.326281040443212,"tensor(-80.7152545, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
45,2.300006215836874,"tensor(-80.7152594, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
46,2.259277042701538,"tensor(-80.7152740, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
47,2.2407183607750563,"tensor(-80.7152848, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
48,2.2682076765325747,"tensor(-80.7153020, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
49,2.2390297051829893,"tensor(-80.7153049, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
50,2.2405675469186637,"tensor(-80.7153251, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
51,2.2275245998879853,"tensor(-80.7153282, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
52,2.2184077343898303,"tensor(-80.7153355, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
53,2.225768123733972,"tensor(-80.7153532, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
54,2.2186601008989926,"tensor(-80.7153580, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
55,2.221021334505506,"tensor(-80.7153702, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
56,2.2052223330087104,"tensor(-80.7153735, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
57,2.200871583382954,"tensor(-80.7153824, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
58,2.191434061617399,"tensor(-80.7153871, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
59,2.195416790503364,"tensor(-80.7153951, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
60,2.196204457462401,"tensor(-80.7154078, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
61,2.190606842277562,"tensor(-80.7154156, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
62,2.18264706078512,"tensor(-80.7154178, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
63,2.1834878424541344,"tensor(-80.7154248, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
64,2.1904966180225873,"tensor(-80.7154315, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
65,2.175933210191101,"tensor(-80.7154360, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
