epoch,epoch_loss,lmi_loss,eta_loss
0,10152044.982185008,"tensor(-81.8635980, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.0079771], grad_fn=<AddBackward0>)"
1,1703493.0501838888,"tensor(-81.8617830, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
2,701632.0680838926,"tensor(-81.8909579, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
3,240724.42806077123,"tensor(-81.9240921, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
4,57064.75804102026,"tensor(-81.9498087, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
5,9382.450711768004,"tensor(-81.9651147, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
6,2289.6204439344433,"tensor(-81.9703698, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
7,988.9327526953957,"tensor(-81.9728928, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
8,458.05453458876485,"tensor(-81.9742575, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
9,377.75928115542297,"tensor(-81.9753440, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
10,194.46864690230385,"tensor(-81.9760525, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
11,129.6943014196861,"tensor(-81.9766518, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
12,67.48637135851949,"tensor(-81.9771379, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
13,46.20213343967158,"tensor(-81.9772841, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
14,42.28623388218048,"tensor(-81.9776091, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
15,30.934958803934396,"tensor(-81.9778007, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
16,24.571693138612748,"tensor(-81.9779234, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
17,20.0399246948477,"tensor(-81.9781068, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
18,19.24326729641067,"tensor(-81.9782095, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
19,14.886534948170555,"tensor(-81.9783116, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
20,14.303999566360705,"tensor(-81.9783790, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
21,11.674235220502291,"tensor(-81.9784820, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
22,9.776051297820363,"tensor(-81.9785067, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
23,9.683175873848421,"tensor(-81.9785813, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
24,10.46866775052173,"tensor(-81.9786198, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
25,9.188775987218955,"tensor(-81.9786609, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
26,8.415451693788981,"tensor(-81.9787097, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
