epoch,epoch_loss,lmi_loss,eta_loss
0,10958824.096365096,"tensor(-81.2305080, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.0080167], grad_fn=<AddBackward0>)"
1,1122445.4679407475,"tensor(-81.2596774, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
2,112025.95842204685,"tensor(-81.2677359, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
3,13058.884518566956,"tensor(-81.2757434, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
4,4832.034781176859,"tensor(-81.2800612, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
5,2523.9755553096534,"tensor(-81.2829168, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
6,1601.326543075018,"tensor(-81.2844736, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
7,1081.724638277493,"tensor(-81.2859000, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
8,769.924102891064,"tensor(-81.2870381, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
9,570.5490179649139,"tensor(-81.2879366, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
10,514.8606084594786,"tensor(-81.2886456, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
11,381.04657065209005,"tensor(-81.2892516, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
12,279.62741627096045,"tensor(-81.2897192, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
13,213.49635546660235,"tensor(-81.2902914, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
14,227.42793370281717,"tensor(-81.2905877, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
15,171.57869748007542,"tensor(-81.2910654, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
16,159.30346139895389,"tensor(-81.2915198, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
17,140.69349500585344,"tensor(-81.2918079, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
18,106.10037454940405,"tensor(-81.2921632, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
19,95.26312253684694,"tensor(-81.2924144, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
20,88.6604205807818,"tensor(-81.2926576, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
21,76.89709077492687,"tensor(-81.2929236, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
22,67.4905334084256,"tensor(-81.2930626, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
