epoch,epoch_loss,lmi_loss,eta_loss
0,3047616.75373332,"tensor(-142.5822326, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
1,23676.68493070687,"tensor(-143.1581006, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
2,8589.999483261738,"tensor(-143.7074647, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
3,3417.7677440164816,"tensor(-144.2499646, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
4,1475.140389852552,"tensor(-144.7815628, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
5,744.1991044650757,"tensor(-145.3002171, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
6,1.3301844779092964,"tensor(-145.8061596, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
7,1.327853070538158,"tensor(-146.2979216, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
8,1.325528130851646,"tensor(-146.7760679, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
9,1.3232176851645054,"tensor(-147.2413895, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
10,1.3209167172060488,"tensor(-147.6946195, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
11,1.3186218417253064,"tensor(-148.1364256, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
12,1.3163312162091712,"tensor(-148.5674136, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
13,1.3140476646283106,"tensor(-148.9881341, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
14,1.311765128992939,"tensor(-149.3990912, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
15,1.3094911487915626,"tensor(-149.8007459, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
16,1.3072232509234154,"tensor(-150.1935231, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
17,1.306326700450214,"tensor(-150.5778159, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
18,1.3086217156470763,"tensor(-150.9539887, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
19,1.306347358727364,"tensor(-151.3223774, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
20,1.3040793476112722,"tensor(-151.6832988, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
21,1.516843359756161,"tensor(-152.0370500, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
