epoch,epoch_loss,lie_loss,lmi_loss,eta_loss
0,405.094418356156,2.378638504391161e-12,-203.06287577148973,0.0
1,2.4545993416750177e-12,2.4545993416750177e-12,-204.1640483024372,0.0
2,2.451768859109023e-12,2.451768859109023e-12,-205.24634585456977,0.0
3,2.450681118879917e-12,2.450681118879917e-12,-206.30604223931292,0.0
4,2.451736591812414e-12,2.451736591812414e-12,-207.33547755934376,0.0
5,2.452725165235704e-12,2.452725165235704e-12,-208.3331618752541,0.0
6,2.4522878527129483e-12,2.4522878527129483e-12,-209.30029621637635,0.0
7,2.457661921856472e-12,2.457661921856472e-12,-210.23848506501542,0.0
8,2.452008289488707e-12,2.452008289488707e-12,-211.1492991750395,0.0
9,2.448623487809722e-12,2.448623487809722e-12,-212.03420237004656,0.0
10,2.4531444219806392e-12,2.4531444219806392e-12,-212.8945476568852,0.0
11,2.4535957041942774e-12,2.4535957041942774e-12,-213.731585549785,0.0
12,2.4527820477332767e-12,2.4527820477332767e-12,-214.5464736609895,0.0
13,2.4504963352543416e-12,2.4504963352543416e-12,-215.340285581975,0.0
14,2.4511402687590856e-12,2.4511402687590856e-12,-216.1140188037739,0.0
15,2.4523714620646223e-12,2.4523714620646223e-12,-216.86860174033816,0.0
16,2.455174100116542e-12,2.455174100116542e-12,-217.60489996278372,0.0
17,2.4506178700827125e-12,2.4506178700827125e-12,-218.32372174635645,0.0
18,2.4546605978272137e-12,2.4546605978272137e-12,-219.02582301864456,0.0
19,2.452400021474505e-12,2.452400021474505e-12,-219.71191178486887,0.0
20,2.4479444790941485e-12,2.4479444790941485e-12,-220.38265209519463,0.0
21,2.449854238117027e-12,2.449854238117027e-12,-221.0386676097736,0.0
22,2.4527302287986625e-12,2.4527302287986625e-12,-221.68054480950707,0.0
23,2.450027382239358e-12,2.450027382239358e-12,-222.30883589395054,0.0
24,2.4518083215270027e-12,2.4518083215270027e-12,-222.9240614022448,0.0
25,2.4501411832334038e-12,2.4501411832334038e-12,-223.52671258825663,0.0
26,2.4508962195087403e-12,2.4508962195087403e-12,-224.11725357706663,0.0
27,2.451424382667836e-12,2.451424382667836e-12,-224.6961233265408,0.0
28,2.4505153386502715e-12,2.4505153386502715e-12,-225.26373741473975,0.0
29,2.4496748835491273e-12,2.4496748835491273e-12,-225.8204896714052,0.0
30,2.4483626730244934e-12,2.4483626730244934e-12,-226.36675366956908,0.0
31,2.4510924084329504e-12,2.4510924084329504e-12,-226.90288409142886,0.0
32,2.4518355820118607e-12,2.4518355820118607e-12,-227.42921798100429,0.0
33,2.450798908128595e-12,2.450798908128595e-12,-227.94607589464158,0.0
34,2.4484295414052397e-12,2.4484295414052397e-12,-228.45376295922338,0.0
35,2.450830044212703e-12,2.450830044212703e-12,-228.95256984680643,0.0
36,2.449702811919464e-12,2.449702811919464e-12,-229.44277367349991,0.0
37,2.4512044052468188e-12,2.4512044052468188e-12,-229.924638829534,0.0
