epoch,epoch_loss,lmi_loss,eta_loss
0,1897006.5131682202,"tensor(-71.0663050, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
1,230441.50778943265,"tensor(-71.0915605, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
2,157805.53874279422,"tensor(-71.0805499, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
3,130985.85749544643,"tensor(-71.0702263, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
4,115039.35511065408,"tensor(-71.0680296, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
5,92691.30785584838,"tensor(-71.0743135, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
6,72323.19204194081,"tensor(-71.0860914, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
7,51551.12186554865,"tensor(-71.1013566, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
8,40225.09353729915,"tensor(-71.1177753, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
9,33818.17753382527,"tensor(-71.1305007, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
10,31168.417197184564,"tensor(-71.1394868, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
11,29412.944453979493,"tensor(-71.1475383, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
12,27174.91144240369,"tensor(-71.1531352, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
13,27961.58107195257,"tensor(-71.1578976, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
14,26644.899709971367,"tensor(-71.1624548, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
15,26054.077329235093,"tensor(-71.1665703, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
16,26606.830612552876,"tensor(-71.1697734, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
17,25768.032218451364,"tensor(-71.1731136, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
18,25455.79932725056,"tensor(-71.1758564, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
19,24641.072721663157,"tensor(-71.1786094, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
20,25014.96706147653,"tensor(-71.1803459, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
21,24900.765002619166,"tensor(-71.1833863, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
22,24846.643636034256,"tensor(-71.1860276, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
23,24392.956621631598,"tensor(-71.1884868, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
24,24523.819463251144,"tensor(-71.1901297, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
25,24470.96313579853,"tensor(-71.1918005, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
26,24142.667884060902,"tensor(-71.1936912, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
27,24682.122279389725,"tensor(-71.1954278, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
28,24014.330296073847,"tensor(-71.1974347, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
29,24639.819564720914,"tensor(-71.1996300, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
30,24307.11970287372,"tensor(-71.2016686, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
31,24018.325258237277,"tensor(-71.2034379, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
32,24184.70786667636,"tensor(-71.2048945, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
33,24049.253240920803,"tensor(-71.2065074, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
34,24192.780145202098,"tensor(-71.2079162, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
35,24144.986801863004,"tensor(-71.2095058, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
36,23685.32173434527,"tensor(-71.2107281, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
37,24107.789166713625,"tensor(-71.2119859, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
38,23631.598071313812,"tensor(-71.2132704, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
39,23775.172067142266,"tensor(-71.2145245, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
40,23586.418076503523,"tensor(-71.2156705, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
41,23775.20250205757,"tensor(-71.2164400, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
42,23402.790030908745,"tensor(-71.2172991, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
43,23760.42805145573,"tensor(-71.2178737, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
44,23562.122810928722,"tensor(-71.2191905, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
45,23425.41430281409,"tensor(-71.2197194, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
46,23785.688018428995,"tensor(-71.2205239, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
47,23798.12058726634,"tensor(-71.2221207, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
48,23835.39437188154,"tensor(-71.2233068, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
49,23578.617173306666,"tensor(-71.2247044, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
50,23535.565323017978,"tensor(-71.2256282, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
51,23563.363285091553,"tensor(-71.2265362, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
52,23865.466631003925,"tensor(-71.2274965, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
53,23732.778821996886,"tensor(-71.2283536, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
54,23505.884433494848,"tensor(-71.2292352, device='cuda:0', grad_fn=<AddBackward0>)","tensor([0.], grad_fn=<AddBackward0>)"
